first_event_date,SOURCEURL,title,description,content,avg_goldstein_score,min_goldstein_score,max_goldstein_score,goldstein_score_std,event_count,actor1_names,actor2_names,actor1_countries,actor2_countries,event_locations,last_event_date,event_descriptions,date_span_days,keywords,author,site_name,image,favicon,canonical_url,language,content_type,status_code,error,llm_result
2025-11-07,https://www.yahoo.com/news/articles/germanys-afd-reject-treason-allegation-200448091.html,Germany's AfD reject 'treason' allegation over lawmakers' Russia trip,"The Alternative for Germany (AfD) on Friday rejected allegations of ""treason"" over plans for several of the far-right party's lawmakers to visit Russia next week. The trip has attracted severe criticism from conservative German politicians due to Russia's war with Ukraine.","Germany's AfD reject 'treason' allegation over lawmakers' Russia trip The Alternative for Germany (AfD) on Friday rejected allegations of ""treason"" over plans for several of the far-right party's lawmakers to visit Russia next week. The trip has attracted severe criticism from conservative German politicians due to Russia's war with Ukraine.",-2.0,-2.0,-2.0,0.0,2,GERMANY,RUSSIA,DEU,RUS,SF,2025-11-07,['Deny responsibility'],0,"Russia, Germany, conservative politicians",,Yahoo News,https://media.zenfs.com/en/dpa_international_526/46d14bfe4c0ef1b8660fa2c3d21b2f66,https://www.yahoo.com/favicon.ico,https://dpa-international.com/politics/urn:newsml:dpa.com:20090101:251107-99-573511/,en-US,text/html; charset=utf-8,200.0,,DIP
2025-11-07,https://www.moroccoworldnews.com/2025/11/266943/russia-reiterates-support-for-un-led-process-in-western-sahara/,Russia Reiterates Support for UN-Led Process in Western Sahara,Russian Deputy Foreign Minister Sergey Vershinin reconfirmed Russia’s visibly evolving position on the Western Sahara dispute,Russia Reiterates Support for UN-Led Process in Western Sahara Russian Deputy Foreign Minister Sergey Vershinin reconfirmed Russia’s visibly evolving position on the Western Sahara dispute,3.4,3.4,3.4,0.0,2,THE UN | RUSSIA,RUSSIAN,RUS,RUS,AG,2025-11-07,['Praise or endorse'],0,,Safaa Kasraoui,Morocco World News,https://www.moroccoworldnews.com/wp-content/uploads/2025/11/Russia-Reiterates-Support-for-UN-Led-Process-in-Western-Sahara.jpg,https://www.moroccoworldnews.com/wp-content/uploads/2025/02/cropped-favicon3-32x32.png,https://www.moroccoworldnews.com/2025/11/266943/russia-reiterates-support-for-un-led-process-in-western-sahara/,en-US,text/html; charset=UTF-8,200.0,,DIP
2025-11-07,https://www.kyivpost.com/post/63861,"Kyiv Says Over 1,400 Africans Fighting for Russia in Ukraine","According to Ukraine’s foreign minister, Russia is using a variety of recruitment tactics to attract foreign fighters – offering financial incentives, misleading contracts, or using coercion.","Kyiv Says Over 1,400 Africans Fighting for Russia in Ukraine According to Ukraine’s foreign minister, Russia is using a variety of recruitment tactics to attract foreign fighters – offering financial incentives, misleading contracts, or using coercion.",8.3,8.3,8.3,0.0,2,KENYAN,RUSSIAN,KEN,RUS,KE,2025-11-07,['Provide military aid'],0,,Alisa Orlova,Kyiv Post,https://static.kyivpost.com/storage/2025/06/12/d6ec0912f177c165e234d2115fa041ee.jpg?w=1200&q=90&f=jpg,https://www.kyivpost.com/favicon.png,,,text/html; charset=UTF-8,200.0,,SEC
2025-11-07,https://www.politico.eu/article/kremlin-denies-rumors-sergey-lavrovs-ousted/,Kremlin denies growing rumors of Sergey Lavrov’s ouster – POLITICO,"“Completely untrue,” insists Vladimir Putin’s spokesperson, as chatter builds about the veteran foreign minister.","Kremlin denies growing rumors of Sergey Lavrov’s ouster – POLITICO “Completely untrue,” insists Vladimir Putin’s spokesperson, as chatter builds about the veteran foreign minister.",-4.0,-4.0,-4.0,0.0,2,RUSSIA,SERGEY LAVROV,RUS,RUS,SF,2025-11-07,"['Reject, not specified below']",0,"Kremlin,Russia,Russian politics,Sergey Lavrov",,POLITICO,"https://www.politico.eu/cdn-cgi/image/width=1200,height=630,fit=crop,quality=80,onerror=redirect/wp-content/uploads/2025/11/07/GettyImages-2242187687-scaled.jpg",https://www.politico.eu/wp-content/themes/politico/assets/images/favicon/favicon.ico,https://www.politico.eu/article/kremlin-denies-rumors-sergey-lavrovs-ousted/,en-GB,text/html; charset=UTF-8,200.0,,DIP
2025-11-07,https://citizen.digital/article/ruto-calls-for-release-of-kenyans-held-in-ukraine-as-he-holds-talks-with-president-zelensky-n372621,Ruto calls for release of Kenyans held in Ukraine as he holds talks with President Zelensky,President William Ruto has called for the release of Kenyans reportedly held in Ukrainian custody following reports that some young Kenyans were illegally recruited to fight in the ongoing Russia–Ukraine war.,Ruto calls for release of Kenyans held in Ukraine as he holds talks with President Zelensky President William Ruto has called for the release of Kenyans reportedly held in Ukrainian custody following reports that some young Kenyans were illegally recruited to fight in the ongoing Russia–Ukraine war.,-10.0,-10.0,-10.0,0.0,1,KENYA,RUSSIA,KEN,RUS,KE,2025-11-07,"['Use conventional military force, not specified below']",0,"Russia, Kenya, Ukraine,President Ruto, President Zelensky",,Citizen Digital,https://assets.citizen.digital/159603/conversions/G1qDZf3WUAAcdNY-og_image.webp,https://citizen.digital/favicon-16x16.png,https://www.citizen.digital/news/ruto-calls-for-release-of-kenyans-held-in-ukraine-as-he-holds-talks-with-president-zelensky-n372621,en-KE,text/html; charset=utf-8,200.0,,IRRELEVANT
2025-11-07,https://edition.cnn.com/2025/11/07/africa/sudan-conflict-foreign-influence-intl-cmd,Sudan’s bloody conflict is plagued by foreign influence – here is what we know | CNN,"While the war in Sudan has most often been portrayed as an internal conflict between two warring generals, the murky involvement of several foreign powers makes the conflict far more complex – and deadly.","Sudan’s bloody conflict is plagued by foreign influence – here is what we know | CNN While the war in Sudan has most often been portrayed as an internal conflict between two warring generals, the murky involvement of several foreign powers makes the conflict far more complex – and deadly.",-2.0,-2.0,-2.0,0.0,1,THE US,RUSSIA,USA,RUS,SU,2025-11-07,"['Accuse, not specified below']",0,,Ivana Kottasová,CNN,"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2225250521.jpg?c=16x9&q=w_800,c_fill",https://edition.cnn.com/media/sites/cnn/favicon.ico,https://www.cnn.com/2025/11/07/africa/sudan-conflict-foreign-influence-intl-cmd,en,text/html; charset=utf-8,200.0,,IRRELEVANT
2025-11-07,https://eadaily.com/en/news/2025/11/07/in-the-united-arab-emirates-durovs-friend-roman-novak-and-his-wife-were-killed,,,,-10.0,-10.0,-10.0,0.0,1,RUSSIA,UNITED ARAB EMIRATES,RUS,ARE,SF,2025-11-07,"['Use conventional military force, not specified below']",0,,,,,,,,,,"Request error: HTTPSConnectionPool(host='eadaily.com', port=443): Max retries exceeded with url: /en/news/2025/11/07/in-the-united-arab-emirates-durovs-friend-roman-novak-and-his-wife-were-killed (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10aafc550>: Failed to establish a new connection: [Errno 61] Connection refused'))",IRRELEVANT
2025-11-07,https://cyprus-mail.com/2025/11/07/kremlin-dismisses-speculation-that-lavrov-has-fallen-out-of-favour-with-putin,Kremlin dismisses speculation that Lavrov has fallen out of favour with Putin |  Cyprus Mail,"The Kremlin on Friday dismissed speculation that Russian Foreign Minister Sergei Lavrov had fallen out of favour with Vladimir Putin after efforts to organise a summit between the Russian president and Donald Trump were put on ice last month. Lavrov, 75, a veteran Soviet-era diplomat known for his robust negotiating&hellip;","Kremlin dismisses speculation that Lavrov has fallen out of favour with Putin |  Cyprus Mail The Kremlin on Friday dismissed speculation that Russian Foreign Minister Sergei Lavrov had fallen out of favour with Vladimir Putin after efforts to organise a summit between the Russian president and Donald Trump were put on ice last month. Lavrov, 75, a veteran Soviet-era diplomat known for his robust negotiating&hellip;",4.0,4.0,4.0,0.0,1,AFRICA,RUSSIA,AFR,RUS,SF,2025-11-07,['Express intent to meet or negotiate'],0,,,,https://cyprus-mail.com/wp-content/uploads/2025/11/lavrov-copy-1.jpg,https://cyprus-mail.com/favicon-32x32.png,https://cyprus-mail.com/2025/11/07/kremlin-dismisses-speculation-that-lavrov-has-fallen-out-of-favour-with-putin,en,text/html; charset=utf-8,200.0,,DIP
2025-11-07,https://www.thecable.ng/russia-were-monitoring-us-plans-for-possible-military-action-in-nigeria/,Russia: We're monitoring US plans for possible military action in Nigeria | TheCable,Russia says it is closely monitoring developments related to reports of potential US military action in Nigeria.,Russia: We're monitoring US plans for possible military action in Nigeria | TheCable Russia says it is closely monitoring developments related to reports of potential US military action in Nigeria.,1.0,1.0,1.0,0.0,1,RUSSIA,RUSSIA,RUS,RUS,NI,2025-11-07,"['Consult, not specified below']",0,,Claire Mom,TheCable,https://www.thecable.ng/wp-content/uploads/2025/11/Maria-Zakharova.jpg,https://www.thecable.ng/wp-content/uploads/2024/06/favicon-1.png,https://www.thecable.ng/russia-were-monitoring-us-plans-for-possible-military-action-in-nigeria/,en-US,text/html; charset=UTF-8,200.0,,DIP
2025-11-07,http://www.femalefirst.co.uk/movies/movie-news/henry-cavills-highlander-reboot-will-game-changer-dave-bautista-says-1432609.html,Henry Cavill’s Highlander reboot will be a ‘game changer’ Dave Bautista says,Dave Bautista has teased the Highlander reboot will be a game changer.,Henry Cavill’s Highlander reboot will be a ‘game changer’ Dave Bautista says Dave Bautista has teased the Highlander reboot will be a game changer.,-10.0,-10.0,-10.0,0.0,1,CHAD,KURGAN,TCD,RUS,CD,2025-11-07,"['Use conventional military force, not specified below']",0,"Dave Bautista, Chad Stahelski, Henry Cavill, Karen Gillan, Jeremy Irons, Russell Crowe, Jake Gyllenhaal",,,https://www.femalefirst.co.uk/image-library/partners/bang/land/500/d/dave-bautistas-appearance-has-concerned-fans-aW1hZ2VzMS8yMDI.jpg,http://www.femalefirst.co.uk/assets/gfx/ff/icons/favicon.ico,https://www.femalefirst.co.uk/movies/movie-news/henry-cavills-highlander-reboot-will-game-changer-dave-bautista-says-1432609.html,en,text/html; charset=UTF-8,200.0,,IRRELEVANT
2025-11-07,https://www.standardmedia.co.ke/opinion/article/2001533660/one-who-poisons-others-should-not-regulate-chemical-disarmament,One who poisons others should not regulate chemical disarmament  - The Standard,"When any state, anywhere, uses chemical agents and faces no consequence, it weakens the entire structure of international security.","One who poisons others should not regulate chemical disarmament  - The Standard When any state, anywhere, uses chemical agents and faces no consequence, it weakens the entire structure of international security.",1.9,1.9,1.9,0.0,1,,MOSCOW,,RUS,KE,2025-11-07,['Make a visit'],0,"Russia-Ukraine WarRussian Chemical Weapons, Ukraine Defence Systems, Russia-Ukraine Ceasefire",Yurii Tokar,The Standard,https://cdn.standardmedia.co.ke/images/articles/thumbnails/YBR3hFHueoaLfOSz12rKf9UTeqdLQgvZjx0CnnZa.jpg,https://www.standardmedia.co.ke/assets/images/favicon.png,https://www.standardmedia.co.ke/opinion/article/2001533660/one-who-poisons-others-should-not-regulate-chemical-disarmament,en,text/html; charset=UTF-8,200.0,,INFO
2025-11-07,https://www.prospectmagazine.co.uk/world/war/71504/the-uk-must-do-more-to-stop-the-violence-in-sudan,The UK must do more to stop the violence in Sudan,Weapons exported from Britain are allegedly enabling the brutal war to continue,The UK must do more to stop the violence in Sudan Weapons exported from Britain are allegedly enabling the brutal war to continue,-2.0,-2.0,-2.0,0.0,1,SUDAN,RUSSIA,SDN,RUS,SU,2025-11-07,['Criticize or denounce'],0,,Anandita Abraham,,https://media.prospectmagazine.co.uk/prod/images/gm_preview/dbb2e2ecf6cb-sudan-header-sopa-images-limited-alamy.jpg,https://assets.prospectmagazine.co.uk/prod/assets/prospect-192x192.003d52e5a92d9c0874c6e592f69b0947.png,https://www.prospectmagazine.co.uk/world/war/71504/the-uk-must-do-more-to-stop-the-violence-in-sudan,en,text/html; charset=utf-8,200.0,,IRRELEVANT
2025-11-07,https://www.standardmedia.co.ke/national/article/2001533720/too-little-too-late-ruto-fails-kenyans-trapped-in-russia,Too little too late: Why Ruto has failed Kenyans trapped in Russia  - The Standard,"Ruto had a telephone conversation with Ukrainian President Volodymyr Zelensky on Thursday evening, where he reportedly requested the release of Kenyans detained in Ukraine.","Too little too late: Why Ruto has failed Kenyans trapped in Russia  - The Standard Ruto had a telephone conversation with Ukrainian President Volodymyr Zelensky on Thursday evening, where he reportedly requested the release of Kenyans detained in Ukraine.",3.0,3.0,3.0,0.0,1,RUSSIA,KENYAN,RUS,KEN,KE,2025-11-07,"['Appeal, not specified below']",0,"President William RutoKenyans In Russia, Russia-Ukraine War, Trapped In Russia",David Odongo and Alex Kiarie,The Standard,https://cdn.standardmedia.co.ke/images/articles/thumbnails/nH5WnKZNoZdovtxPGTczVvCXJZ9wkoWhtoxuFPTG.jpg,https://www.standardmedia.co.ke/assets/images/favicon.png,https://www.standardmedia.co.ke/national/article/2001533720/too-little-too-late-ruto-fails-kenyans-trapped-in-russia,en,text/html; charset=UTF-8,200.0,,DIP
2025-11-07,https://www.dailymail.co.uk/news/article-15268427/Putin-Sergei-Lavrov-disgrace-collapse-summit-Trump.html,Putin 'sends Sergei Lavrov into disgrace' after blaming him for the collapse of his summit with Trump | Daily Mail Online,"Reports of fresh turmoil in the Kremlin come as the hard-line chief diplomat, who has not been seen in public in recent days, is sidelined from key summits and meetings in Russia .","Putin 'sends Sergei Lavrov into disgrace' after blaming him for the collapse of his summit with Trump | Daily Mail Online Reports of fresh turmoil in the Kremlin come as the hard-line chief diplomat, who has not been seen in public in recent days, is sidelined from key summits and meetings in Russia .",-2.0,-2.0,-2.0,0.0,1,RUSSIA,ADMINISTRATION,RUS,,SF,2025-11-07,"['Accuse, not specified below']",0,"dailymail,news,Russia,Ukraine",Sabrina Penty,Mail Online,https://i.dailymail.co.uk/1s/2025/11/07/09/103679611-0-image-m-11_1762508106339.jpg,https://www.dailymail.co.uk/favicon.ico?v=2,https://www.dailymail.co.uk/news/article-15268427/Putin-Sergei-Lavrov-disgrace-collapse-summit-Trump.html,,text/html;charset=UTF-8,200.0,,DIP
2025-11-07,https://tass.com/world/2040521,Malian foreign minister accuses external forces of fuel crisis provocation -  World - TASS,Abdoulaye Diop stressed that the Malian government was taking all necessary measures to ensure stable fuel supplies across the country,Malian foreign minister accuses external forces of fuel crisis provocation -  World - TASS Abdoulaye Diop stressed that the Malian government was taking all necessary measures to ensure stable fuel supplies across the country,-5.0,-5.0,-5.0,0.0,1,AL QAEDA,RUSSIA,,RUS,ML,2025-11-07,"['Impose administrative sanctions, not specified below']",0,,,TASS,https://tass.com/img/blocks/common/tass_logo_share_eng.png,,,,text/html; charset=utf-8,200.0,,IRRELEVANT
2025-11-07,https://en.interfax.com.ua/news/general/1118779.html,"Over 1,400 Africans from 36 nations fighting for Russia in war on Ukraine – FM Sybiha","According to available information, at least 1,436 citizens from 36 African countries are currently fighting in the ranks of the Russian army, Ukrainian Foreign Minister Andriy Sybiha has said, calling on African governments to publicly warn their citizens against joining the Russian occupation army.","Over 1,400 Africans from 36 nations fighting for Russia in war on Ukraine – FM Sybiha According to available information, at least 1,436 citizens from 36 African countries are currently fighting in the ranks of the Russian army, Ukrainian Foreign Minister Andriy Sybiha has said, calling on African governments to publicly warn their citizens against joining the Russian occupation army.",-10.0,-10.0,-10.0,0.0,1,AFRICANS,RUSSIA,,RUS,SF,2025-11-07,"['Use conventional military force, not specified below']",0,"sybiha, army, african",,Interfax-Ukraine,https://media.interfax.com.ua/media/thumbs/images/2025/07/uydhp/61o0wL6KcArX.jpg,https://interfax.com.ua/static/favicon.png,https://en.interfax.com.ua/news/general/1118779.html,en,text/html; charset=utf-8,200.0,,SEC
2025-11-07,https://www.businessday.co.za/opinion/columnists/2025-11-07-anthony-butler-does-mamdani-have-what-it-takes-to-deliver-change-in-new-york/,ANTHONY BUTLER: Does Mamdani have what it takes to deliver change in New York? | Business Day,Zohran Mamdani will challenge sceptics who question his ability to manage the city,ANTHONY BUTLER: Does Mamdani have what it takes to deliver change in New York? | Business Day Zohran Mamdani will challenge sceptics who question his ability to manage the city,3.4,3.4,3.4,0.0,1,UGANDAN,RUSSIA,UGA,RUS,UG,2025-11-07,['Praise or endorse'],0,"Zohran Mamdani, New York Mayor-Elect, political novice success, urban affordability, bifurcated state theory",,Business Day,https://www.businessday.co.za/resizer/v2/6YLRDL4ZBRHPRONSWJPX2TRBEA.JPG?smart=true&auth=7e4458e02dff6d37c5cfffd581b5905f41c5affc7a420186e1aa17ab84a3a58f&width=1200&height=630,https://www.businessday.co.za/pf/resources/images/businessday/favicon.ico?d=49,https://www.businessday.co.za/opinion/columnists/2025-11-07-anthony-butler-does-mamdani-have-what-it-takes-to-deliver-change-in-new-york/,en,text/html; charset=utf-8,200.0,,IRRELEVANT
2025-11-07,https://www.channelafrica.co.za/channelafrica/news/sa-government-must-act-swiftly-to-bring-back-south-africans-trapped-in-ukraine-forum-for-sa-urges/,"SA government must act swiftly to bring back South Africans trapped in Ukraine, Forum for SA urges – Channel Africa",,"SA government must act swiftly to bring back South Africans trapped in Ukraine, Forum for SA urges – Channel Africa",3.0,3.0,3.0,0.0,1,UKRAINIAN,RUSSIAN,UKR,RUS,SF,2025-11-07,"['Appeal, not specified below']",0,,,,,https://www.channelafrica.co.za/channelafrica/wp-content/uploads/2025/07/cropped-channelafrica-Site-Icon-32x32.png,https://www.channelafrica.co.za/channelafrica/news/sa-government-must-act-swiftly-to-bring-back-south-africans-trapped-in-ukraine-forum-for-sa-urges/,en-US,text/html; charset=UTF-8,200.0,,IRRELEVANT
