SOURCEURL,Date,Event name,actor1_countries,actor2_countries,event_locations,combined_text_entities,combined_text_entity_types,keywords,first_event_date,title,description,event_count,avg_goldstein_score,site_name,language,actor1_names,actor2_names,event_descriptions,author,Type
https://www.timeslive.co.za/news/2025-11-29-hawks-arrest-four-men-en-route-to-russia-in-military-recruitment-scandal/,11/29/2025,Hawks arrest four men en route to Russia in military recruitment scandal,RUS,,SF,,,"MKP members trafficked,Duduzile Zuma-Sambudla,Crimes Against the State",11/29/2025,Hawks arrest four men en route to Russia in military recruitment scandal,Four men will appear in the Kempton Park magistrate's court after they were arrested at the OR Tambo international airport in connection with the Russia-Ukraine military recruitment scandal,1,0,The Sun,en-gb,RUSSIA,MILITARY,['Make a visit'],,SEC
https://www.citizen.co.za/news/in-case-you-missed-it-cat-matlala-a-grootman-to-vusi-shongwe-russian-military-recruiters-arrested-boy-finds-mom-fatally-stabbed/,11/29/2025,In case you missed it: ‘Cat’ Matlala a ‘grootman’ to Vusi Shongwe? | Russian military recruiters arrested | Boy finds mom fatally stabbed | The Citizen,RUS,ARE | ZAF,SF,,,,11/29/2025,In case you missed it: ‘Cat’ Matlala a ‘grootman’ to Vusi Shongwe? | Russian military recruiters arrested | Boy finds mom fatally stabbed | The Citizen,"Catch up on the biggest stories this Saturday, 29 November 2025, in our simple daily news update.",3,6.870468203,The South African,en-ZA,RUSSIA,UNITED ARAB EMIRATES | FREE STATE,"['Make a visit', 'Use conventional military force, not specified below']",Shyleen Choruma,INFO
https://athens-times.com/turkey-fire-on-two-tankers-after-attack-by-trapped-unmanned-vessels-in-the-black-sea/,11/29/2025,Fire on Two Tankers After USV Attacks in Black Sea,RUS | TUR,TUR | RUS,GA,,,,11/29/2025,Fire on Two Tankers After USV Attacks in Black Sea,"Two oil tankers, including M/T Virat and M/T Kairos, caught fire after USV attacks in the Black Sea near Turkey. Both ships linked to Russia's shadow fleet.",2,0.6363961031,TimesLIVE,en,RUSSIA | TURKISH,TURKISH | RUSSIA,"['Make a visit', 'Host a visit']",,SEC
https://www.namibian.com.na/former-sa-president-zumas-daughter-quits-parliament-amid-russia-war-claims/,11/29/2025,Former SA president Zuma’s daughter quits parliament amid Russia war claims - News - The Namibian,AFR | ZAF,RUS,WA,,,,11/29/2025,Former SA president Zuma’s daughter quits parliament amid Russia war claims - News - The Namibian,Former South African president Jacob Zuma’s daughter Duduzile Zuma-Sambudla has resigned from parliament amid allegations that she lured 17 men to fight as mercenaries in Russia’s […],3,0,TimesLIVE,en,AFRICA | SOUTH AFRICAN,RUSSIA,"['Use conventional military force, not specified below']",,SEC
https://www.enca.com/top-stories/da-demands-proper-probe-zuma-sambudlas-alleged-russian-recruitment,11/29/2025,DA demands proper probe into Zuma-Sambudla’s alleged Russian recruitment - eNCA,ZAF,RUS,SF,,,,11/29/2025,DA demands proper probe into Zuma-Sambudla’s alleged Russian recruitment - eNCA,The Democratic Alliance (DA) is calling for a thorough investigation into former MK Party MP Duduzile Zuma-Sambudla.,1,0,The Citizen,en,JOHANNESBURG,RUSSIA,"['Appeal, not specified below']",Enkosi Selane,INFO
https://www.npr.org/2025/11/28/nx-s1-5622956/south-africans-trapped-on-frontlines-of-russia-ukraine-war-plead-for-help,11/28/2025,South Africans trapped on frontlines of Russia-Ukraine war plead for help : NPR,AFR,RUS,SF,,,,11/28/2025,South Africans trapped on frontlines of Russia-Ukraine war plead for help : NPR,"South Africa scrambles to rescue 17 men lured to fight for Russia in Ukraine, exposing a web of exploitation, politics and international mercenary recruiting involving a former president's daughter.",1,0,Athens Times,en-US,AFRICA,RUSSIA,['Provide humanitarian aid'],uploader,SEC
https://tass.com/defense/2050593,11/28/2025,Rosoboronexport offers Egypt comprehensive national security solutions - Military & Defense - TASS,,RUS,EG,,,,11/28/2025,Rosoboronexport offers Egypt comprehensive national security solutions - Military & Defense - TASS,"According to Rosoboronexport CEO Alexander Mikheyev, this year marks 70th anniversary of the military-technical partnership between Russia and Egypt",2,0,"Grenada Chronicle – Daily Grenada, Caribbean News",en-US,MILITARY,RUSSIA,['Engage in symbolic act'],,SEC
https://www.voltairenet.org/article223267.html,11/28/2025,"The Fall of Zelensky's Regime and Those of His Allies, by Thierry Meyssan",EUR,RUS,SU,,,"European Union ,Ukraine ,Paris (France)",11/28/2025,"The Fall of Zelensky's Regime and Those of His Allies, by Thierry Meyssan","The US-Russian peace plan for Ukraine certainly puts an end to a conflict. But, above all, it paves the way for a rewriting of history. (…) [Voltaire Network ]",2,5.656854249,,en-US,EUROPEAN,RUSSIAN,"['Appeal, not specified below', 'Demand, not specified below']",,INFO
https://www.channelafrica.co.za/channelafrica/news/sa-mp-steps-down-amid-controversy-over-russia-ukraine-recruitment/,11/28/2025,"SA MP steps down amid controversy over Russia, Ukraine recruitment – Channel Africa",RUS,AFR | UKR,SF,,,,11/28/2025,"SA MP steps down amid controversy over Russia, Ukraine recruitment – Channel Africa",,2,0,The Namibian,en-GB,RUSSIA,AFRICA | UKRAINE,['Accede to demands for change in leadership'],Kevin Doyle,DIP
https://www.yahoo.com/news/articles/scared-desperate-south-africans-claim-092803036.html,11/28/2025,Ex-president's daughter resigns over allegations she duped South Africans to fight for Russia,RUS,UKR,SF,,,"South Africa, South Africans, Jacob Zuma, Russia, Duduzile Zuma-Sambudla, Zuma-Sambudla, Ukraine war, Ukraine, Sipho",11/28/2025,Ex-president's daughter resigns over allegations she duped South Africans to fight for Russia,Her resignation comes as a South African allegedly recruited to fight in Ukraine recounts the horrors of war to the BBC.,1,0,"Dominican Republic Post – Caribbean News, Business, Travel & Culture",en-US,RUSSIAN,UKRAINE,"['Use conventional military force, not specified below']",,DIP
https://www.dailysabah.com/turkiye/fire-erupts-on-russia-bound-tanker-off-turkiyes-kocaeli-coast/news,11/28/2025,Fire erupts on Russia-bound tanker off Türkiye’s Kocaeli coast | Daily Sabah,RUS,UKR,GA,,,"BLACK SEA,russia,turkiye,KOCAELI,tanker fire,fire",11/28/2025,Fire erupts on Russia-bound tanker off Türkiye’s Kocaeli coast | Daily Sabah,"A fire broke out Thursday aboard a Russian-bound tanker off the coast of Kandıra district in Türkiye's Kocaeli province, prompting an emergency...",3,8.891194146,eNCA,en,RUSSIAN | RUSSIA,AUTHORITIES | UKRAINE,"['Provide humanitarian aid', 'Impose embargo, boycott, or sanctions']",,SEC
https://thenationonlineng.net/captured-kenyan-runner-says-he-was-tricked-into-russian-army/,11/28/2025,Captured Kenyan runner says he was tricked into Russian army - The Nation Newspaper,CMR | KEN | RUS | UKR,RUS | KEN,CM | TO | KE,,,,11/28/2025,Captured Kenyan runner says he was tricked into Russian army - The Nation Newspaper,The Nation Newspaper Captured Kenyan runner says he was tricked into Russian army,6,6.754751414,The Mail & Guardian,en-ZA,CAMEROON | CITIZEN | KENYA | RUSSIA | UKRAINE,RUSSIA | KENYA,"['Make statement, not specified below', 'Cooperate militarily', 'Use conventional military force, not specified below', 'Arrest, detain, or charge with legal action']",Eyaaz,SEC
https://www.wral.com/news/ap/f4306-south-african-ex-leaders-daughter-quits-parliament-over-russian-mercenary-allegations/,11/28/2025,South African ex-leader's daughter quits Parliament over Russian mercenary allegations :: WRAL.com,AFR | ZAF,RUS,SF,,,"Associated Press, AP Politics, AP World news",11/28/2025,South African ex-leader's daughter quits Parliament over Russian mercenary allegations :: WRAL.com,"JOHANNESBURG (AP) — A daughter of former South African President Jacob Zuma has resigned as a lawmaker, her party said Friday, after coming under police investigation for allegedly tricking 17 men into joining a Russian mercenary group fighting in the Ukraine war.",3,0,NPR,en,AFRICA | SOUTH AFRICAN,RUSSIA | RUSSIAN,"['Return, release person(s)']",,SEC
https://www.okayafrica.com/today-in-africa-november-28-2025-jacob-zumas-daughter-resigns-after-allegations-she-lured-south-africans-to-fight-in-russia-tunisia-jails-dozens-of-opposition-figures-kenyan-farmers-win-landmark-seed-rights-ruling/1410384,11/28/2025,"Nov 28: Zuma’s daughter resigns, Tunisia jails opposition, Kenyan farmers win",AFR | ZAF,RUS,UG,,,,11/28/2025,"Nov 28: Zuma’s daughter resigns, Tunisia jails opposition, Kenyan farmers win","Today in Africa, Nov 28: Jacob Zuma’s Daughter Resigns After Allegations She Lured South Africans to Fight in Russia, Tunisia Jails Dozens of Opposition Figures, Kenyan Farmers Win Landmark Seed Rights Ruling",4,0,TASS,,AFRICA | SOUTH AFRICAN,RUSSIA,"['Use conventional military force, not specified below']",,SEC
https://www.pottsmerc.com/2025/11/26/trump-ceasefire-playbook/,11/27/2025,"Pushing an end to the Russia-Ukraine war, Trump looks to his Gaza ceasefire playbook",ISR | RUS,RUS | ISR,EG,,,"Russia-Ukraine war, Trump, ceasefire playbook",11/27/2025,"Pushing an end to the Russia-Ukraine war, Trump looks to his Gaza ceasefire playbook","Trump had issued a 28-point plan favoring Russia, alarming Europe.",2,0,Voltaire Network,en,ISRAEL | RUSSIA,RUSSIA | ISRAEL,['Engage in negotiation'],"Thierry Meyssan, Voltaire Network",DIP
https://www.dailysabah.com/politics/turkiye-ready-to-send-troops-to-ukraine-in-case-of-truce/news,11/27/2025,Türkiye ready to send troops to Ukraine in case of truce | Daily Sabah,AFR | RUS,RUS | AFR,SF,,,"RUSSIA-UKRAINE CONFLICT,peacekeeping forces,TURKISH ARMY",11/27/2025,Türkiye ready to send troops to Ukraine in case of truce | Daily Sabah,Defense Ministry sources said on Thursday that Türkiye may join the planned 'reassurance force' if circumstances are right and after a...,2,0.6363961031,TimesLIVE,en,AFRICA | RUSSIA,RUSSIA | AFRICA,"['Make a visit', 'Host a visit']",,DIP
https://www.financialmail.businessday.co.za/news-and-fox/2025-11-27-wagner-the-zuma-soap-opera/,11/27/2025,Legion of the scammed,RUS,AFR | ZAF,SF,,,"mercenary,Duduzile Zuma-Sambudla,mercenaries in Ukraine,infantry soldiers,Russia's war,mercenary recruitment,MK",11/27/2025,Legion of the scammed,The presidency said it will investigate how the men ended up in the war zone in Ukraine,2,0,Catholic Standard,en-US,RUSSIA,AFRICA | SOUTH AFRICAN,['Host a visit'],,SEC
https://theconversation.com/ukraine-deal-or-no-deal-270850,11/27/2025,Ukraine: deal or no deal?,RUS | USA,UKR | RUS,SU,,,,11/27/2025,Ukraine: deal or no deal?,History tells us that any deal that doesn’t come with cast-iron security guarantees for Ukraine is not worth the paper it is written on.,3,0.5773502692,,,RUSSIAN | THE US | NEW YORK,CRIMEA | RUSSIA,"['Appeal, not specified below', 'Express intent to meet or negotiate']",,DIP
https://www.breitbart.com/national-security/2025/11/25/south-africa-investigates-scheme-to-dupe-citizens-into-ukraine-war/,11/27/2025,South Africa Investigates Scheme to Dupe Citizens into Ukraine War,AFR | RUS | ZAF,RUS,SF,,,,11/27/2025,South Africa Investigates Scheme to Dupe Citizens into Ukraine War,"South African police investigate Duduzile Zuma-Sambudla, daughter of former President Jacob Zuma, over men lured to fight for Russia.",4,1.5011107,,en-US,AFRICA | RUSSIAN | SOUTH AFRICAN,RUSSIA,"['Praise or endorse', 'Engage in material cooperation, not specified below']",,SEC
https://www.cp24.com/news/world/2025/11/27/captured-kenyan-runner-says-he-was-tricked-into-russian-army/,11/27/2025,Kenya runner Evans Kibet says he was tricked into Russia army,CMR | KEN,RUS,CM | TO | KE,,,apple-news,11/27/2025,Kenya runner Evans Kibet says he was tricked into Russia army,Kenyan long-distance runner Evans Kibet said he came to Russia for a sporting event but was instead spirited away to a military training camp and sent to fight in Ukraine.,4,3.7,Yahoo News,en-US,CAMEROON | CITIZEN | KENYA,RUSSIA | MOSCOW,"['Make statement, not specified below', 'Cooperate militarily']",,SEC
https://africa.com/russia-sets-sights-on-africas-fish/,11/27/2025,Russia sets sights on Africa’s fish | africa.com,CHN | RUS,RUS | SEN,SG,,,,11/27/2025,Russia sets sights on Africa’s fish | africa.com,"Russia’s new Great African Expedition marks its latest push for influence on the continent, seeking to incorporate Africa’s rich but fragile fisheries.",7,3.838154318,Horseed Media - Latest Somali News & Analysis,en,CHINA | RUSSIA,RUSSIA | SENEGALESE | SENEGAL,"['Engage in material cooperation, not specified below', 'Make pessimistic comment', 'Engage in negotiation']",,ECON
https://www.globalsecurity.org/wmd/library/news/russia/2025/11/russia-251125-russia-mfa02.htm,11/26/2025,Press release on the exchange of congratulatory messages between Russian Foreign Minister Sergey Lavrov and Foreign Minister of Nigeria Yusuf Maitama Tuggar marking the 65th anniversary of establishing diplomatic relations,NGA | RUS,RUS | NGA,NI,,,"WMD,library,news,russia,2025,November",11/26/2025,Press release on the exchange of congratulatory messages between Russian Foreign Minister Sergey Lavrov and Foreign Minister of Nigeria Yusuf Maitama Tuggar marking the 65th anniversary of establishing diplomatic relations,,7,2.672612419,,en,NIGERIA | RUSSIAN,RUSSIAN | NIGERIA,"['Consult, not specified below', 'Engage in symbolic act', 'Grant diplomatic recognition']",,DIP
https://united24media.com/latest-news/wagners-bloody-legacy-in-mali-torture-executions-and-a-trail-of-fear-13792,11/26/2025,"Wagner’s Bloody Legacy in Mali: Torture, Executions, and a Trail of Fear — UNITED24 Media",RUS,RUS,ML,,,,11/26/2025,"Wagner’s Bloody Legacy in Mali: Torture, Executions, and a Trail of Fear — UNITED24 Media","Russian mercenaries in Mali face allegations of extrajudicial killings and torture, raising concerns about human rights violations during operations.",5,6.949820142,Daily Sabah,en_US,REFUGEE | RUSSIA | RUSSIAN,RUSSIAN | DEFENSE MINIST,"['Use conventional military force, not specified below', 'Appeal, not specified below', 'Torture']",Daily Sabah with Agencies,SEC
https://tass.com/politics/2048927,11/26/2025,Russia ready to support Nigeria’s counter-terrorism effort — diplomat - Russian Politics & Diplomacy - TASS,RUS,NGA,SF | NI,,,,11/26/2025,Russia ready to support Nigeria’s counter-terrorism effort — diplomat - Russian Politics & Diplomacy - TASS,"Russian Foreign Ministry’s official spokeswoman Maria Zakharova noted ""the Nigerian government’s serious efforts in the sphere of counter-terrorism""",5,8.648699324,The Nation Newspaper,en-US,RUSSIAN | RUSSIA,NIGERIAN,"['Express intent to cooperate, not specified below', 'Use conventional military force, not specified below', 'Engage in material cooperation, not specified below', 'Provide aid, not specified below']",Our Reporter,SEC
https://www.aol.co.uk/articles/daughter-ex-south-african-leader-085518046.html,11/26/2025,Daughter of South Africa’s ex-president accused of luring men to fight for Russia,AFR | RUS | ZAF,RUS | AFR,SF,,,,11/26/2025,Daughter of South Africa’s ex-president accused of luring men to fight for Russia,The affidavit alleges they were handed over to a Russian mercenary group,8,4.810702354,WRAL.com,en,AFRICA | RUSSIA | SOUTH AFRICAN,RUSSIA | AFRICA,"['Investigate, not specified below', 'Engage in negotiation']",,SEC
https://www.moroccoworldnews.com/2025/11/269276/news-on-visa-free-travel-between-morocco-russia-is-rumor/,11/26/2025,"News on Visa-Free Travel Between Morocco, Russia is Rumor",EGY | MAR | RUS,RUS | EGY | MAR,EG | MO,,,,11/26/2025,"News on Visa-Free Travel Between Morocco, Russia is Rumor","News on the visa-free travel agreement between Morocco and Russia is merely a rumor, a source told Morocco World News (MWN) today.",10,1.322623655,,en-US,EGYPTIAN | MOROCCO | RUSSIAN | RUSSIA,RUSSIAN | RUSSIA | EGYPTIAN | MOROCCO,"['Engage in material cooperation, not specified below', 'Express intent to cooperate, not specified below', 'Host a visit']",,DIP
https://www.breitbart.com/africa/2025/11/25/south-africa-investigates-scheme-to-dupe-citizens-into-ukraine-war/,11/26/2025,South Africa Investigates Scheme to Dupe Citizens into Ukraine War,AFR | RUS | ZAF,RUS,SF,,,,11/26/2025,South Africa Investigates Scheme to Dupe Citizens into Ukraine War,"South African police investigate Duduzile Zuma-Sambudla, daughter of former President Jacob Zuma, over men lured to fight for Russia.",4,1.5011107,TimesLIVE,en,AFRICA | RUSSIAN | SOUTH AFRICAN,RUSSIA,"['Praise or endorse', 'Engage in material cooperation, not specified below']",,SEC
https://www.independent.co.uk/news/world/europe/jacob-zuma-daughter-duduzile-south-africa-russia-ukraine-war-b2872605.html,11/26/2025,Duduzile Zuma: Daughter of South Africa’s ex-president accused of luring men to fight for Russia | The Independent,RUS | ZAF,RUS,SF,,,,11/26/2025,Duduzile Zuma: Daughter of South Africa’s ex-president accused of luring men to fight for Russia | The Independent,The affidavit alleges they were handed over to a Russian mercenary group,2,0,allAfrica.com,en,RUSSIA | SOUTH AFRICAN,RUSSIA,"['Use conventional military force, not specified below']",,SEC
https://www.businesstoday.in/latest/economy/story/india-russia-led-eaeu-to-begin-fta-talks-from-today-this-is-how-much-they-trade-503731-2025-11-26,11/26/2025,"India, Russia led EAEU to begin FTA talks from today; this is how much they trade - BusinessToday",RUS,,SF,,,"India EAEU FTA talks, Russia-led Eurasian Economic Union trade agreement, Piyush Goyal FTA announcement, India Russia trade 2024-25, EAEU member countries Armenia Belarus Kazakhstan Kyrgyzstan, India SACU trade pact, India Mercosur PTA phase two, India Israel early harvest agreement, India Canada FTA restart, Indian exporters MSMEs FTA benefits",11/26/2025,"India, Russia led EAEU to begin FTA talks from today; this is how much they trade - BusinessToday","India and the EAEU — which includes Russia, Armenia, Belarus, Kazakhstan, and Kyrgyzstan — had signed the Terms of Reference on August 20, 2025.",1,0,The Economic Times,en,RUSSIA,,['Engage in negotiation'],,ECON
https://www.timeslive.co.za/ideas/2025-11-26-editorialramaphosa-needs-to-blow-up-mk-partys-russia-mission/,11/26/2025,EDITORIAL | Ramaphosa needs to blow up MK Party’s Russia mission,RUS,,SF,,,"South African soldiers stranded,diplomatic intervention Ramaphosa,Regulation of Foreign Military Assistance Act",11/26/2025,EDITORIAL | Ramaphosa needs to blow up MK Party’s Russia mission,Jacob Zuma’s admission that the men were sent for military training speaks to a sinister agenda,2,0,The Mercury,en-US,RUSSIA,CITIZEN,"['Use conventional military force, not specified below']",,SEC
https://www.faceofmalawi.com/2025/11/25/zumas-daughter-accused-of-sending-south-african-men-to-fight-in-ukraine/,11/25/2025,Zuma’s Daughter Accused of Sending South African Men to Fight in Ukraine – Face of Malawi,ZAF,RUS,SF,,,,11/25/2025,Zuma’s Daughter Accused of Sending South African Men to Fight in Ukraine – Face of Malawi,"South African police are investigating serious allegations that Duduzile Zuma-Sambudla, daughter of former President Jacob Zuma, lured 17 men into joining Russi",1,0,Daily Sabah,en_US,SOUTH AFRICAN,RUSSIA,['Engage in negotiation'],,SEC
https://www.ewn.co.za/2025/11/25/18-south-africans-lured-to-fight-for-russia-in-ukraine-duduzile-zumas-docket-opened,11/25/2025,18 South Africans 'lured' to fight for Russia in Ukraine - Duduzile Zuma's docket opened,UKR,RUS,SF,,,"ewn, ewn news, news, eyewitness news, eye witness news, latest news, news today, ewn south africa, ewn-news, primedia+, primedia plus, prime media plus",11/25/2025,18 South Africans 'lured' to fight for Russia in Ukraine - Duduzile Zuma's docket opened,The men were reportedly told they were going for bodyguard training but are now fighting on the frontlines.,1,0,Financial Mail,en,UKRAINE,RUSSIA,"['Use conventional military force, not specified below']",,SEC
https://thechronicle.com.gh/daughter-of-south-africas-ex-president-accuses-sister-of-russia-recruitment-plot/,11/25/2025,Daughter of South Africa's ex-president accuses sister of Russia recruitment plot - The Ghanaian Chronicle,AFR,RUS,BC,,,,11/25/2025,Daughter of South Africa's ex-president accuses sister of Russia recruitment plot - The Ghanaian Chronicle,"One of the daughters of Jacob Zuma, South Africa’s former president, has filed a criminal complaint against her sister, accusing her of recruiting men from South Africa to fight in the Russia-Ukraine war. Nkosazana Zuma-Mncube alleged that Duduzile Zuma-Sambudla, who serves as an MP, and two others tricked 17 men into fighting for Russian mercenaries. […]",1,0,Financial Mail,en,AFRICA,RUSSIA,"['Accuse, not specified below']",,SEC
https://www.neimagazine.com/news/burkina-faso-approves-nuclear-deal-with-russia/,11/25/2025,Burkina Faso approves nuclear deal with Russia - Nuclear Engineering International,BFA | RUS,RUS | BFA,UV,,,,11/25/2025,Burkina Faso approves nuclear deal with Russia - Nuclear Engineering International,"Burkina Faso has approved a nuclear cooperation deal with Russia and worked with the IAEA on legislation to support the safe, development of nuclear energy.",4,8.514105942,The Conversation,en-EUROPE,BURKINA FASO | RUSSIA,RUSSIA | BURKINA FASO,"['Praise or endorse', 'Sign formal agreement', 'Assassinate']",Jonathan Este,DIP
https://www.eurasiareview.com/25112025-south-african-parts-found-in-russian-drone/,11/25/2025,South African Parts Found In Russian Drone – Eurasia Review,AFR | ZAF,RUS,SF,,,,11/25/2025,South African Parts Found In Russian Drone – Eurasia Review,South African authorities have launched an investigation to determine how locally made technology turned up in kamikaze drones deployed by Russia in its invasion of Ukraine. Ukrainian troops discovered the laser range-finding equipment produced by South Africa’s LightWare Optoelectronics after they recovered a downed Garpiya-A1 kamikaze drone. Ukrainian authorities said the technology could be used...,2,0,Power Technology,en-US,AFRICA | SOUTH AFRICAN,RUSSIA | RUSSIAN,['Threaten to halt negotiations'],Tracey,SEC
https://www.myjoyonline.com/daughter-of-south-africas-ex-president-accuses-sister-of-russia-recruitment-plot/,11/25/2025,Daughter of South Africa's ex-president accuses sister of Russia recruitment plot - MyJoyOnline,ZAF,RUS,SF,,,,11/25/2025,Daughter of South Africa's ex-president accuses sister of Russia recruitment plot - MyJoyOnline,"One of the daughters of Jacob Zuma, South Africa's former president, has filed a criminal complaint against her sister, accusing her of recruiting men from South Africa to fight in the Russia-Ukraine war.",2,5.656854249,Breitbart,en,JACOB ZUMA,RUSSIA,"['Complain officially', 'Use conventional military force, not specified below']",John Hayward,SEC
