SOURCEURL,Date,Event name,Type,cluster,actor1_countries,actor2_countries,event_locations,combined_text_entities,combined_text_entity_types,keywords,first_event_date,title,description,event_count,avg_goldstein_score,site_name,language,actor1_names,actor2_names,event_descriptions,author
https://www.thecable.ng/russia-were-monitoring-us-plans-for-possible-military-action-in-nigeria/,2025-11-07,Russia: We're monitoring US plans for possible military action in Nigeria | TheCable,DIP,,RUS,RUS,NI,,,,2025-11-07,Russia: We're monitoring US plans for possible military action in Nigeria | TheCable,Russia says it is closely monitoring developments related to reports of potential US military action in Nigeria.,1,1.0,TheCable,en-US,RUSSIA,RUSSIA,"['Consult, not specified below']",Claire Mom
https://www.standardmedia.co.ke/opinion/article/2001533660/one-who-poisons-others-should-not-regulate-chemical-disarmament,2025-11-07,One who poisons others should not regulate chemical disarmament  - The Standard,INFO,,,RUS,KE,,,"Russia-Ukraine WarRussian Chemical Weapons, Ukraine Defence Systems, Russia-Ukraine Ceasefire",2025-11-07,One who poisons others should not regulate chemical disarmament  - The Standard,"When any state, anywhere, uses chemical agents and faces no consequence, it weakens the entire structure of international security.",1,1.9,The Standard,en,,MOSCOW,['Make a visit'],Yurii Tokar
https://www.standardmedia.co.ke/national/article/2001533720/too-little-too-late-ruto-fails-kenyans-trapped-in-russia,2025-11-07,Too little too late: Why Ruto has failed Kenyans trapped in Russia  - The Standard,DIP,,RUS,KEN,KE,,,"President William RutoKenyans In Russia, Russia-Ukraine War, Trapped In Russia",2025-11-07,Too little too late: Why Ruto has failed Kenyans trapped in Russia  - The Standard,"Ruto had a telephone conversation with Ukrainian President Volodymyr Zelensky on Thursday evening, where he reportedly requested the release of Kenyans detained in Ukraine.",1,3.0,The Standard,en,RUSSIA,KENYAN,"['Appeal, not specified below']",David Odongo and Alex Kiarie
https://www.dailymail.co.uk/news/article-15268427/Putin-Sergei-Lavrov-disgrace-collapse-summit-Trump.html,2025-11-07,Putin 'sends Sergei Lavrov into disgrace' after blaming him for the collapse of his summit with Trump | Daily Mail Online,DIP,,RUS,,SF,,,"dailymail,news,Russia,Ukraine",2025-11-07,Putin 'sends Sergei Lavrov into disgrace' after blaming him for the collapse of his summit with Trump | Daily Mail Online,"Reports of fresh turmoil in the Kremlin come as the hard-line chief diplomat, who has not been seen in public in recent days, is sidelined from key summits and meetings in Russia .",1,-2.0,Mail Online,,RUSSIA,ADMINISTRATION,"['Accuse, not specified below']",Sabrina Penty
https://en.interfax.com.ua/news/general/1118779.html,2025-11-07,"Over 1,400 Africans from 36 nations fighting for Russia in war on Ukraine – FM Sybiha",SEC,,,RUS,SF,,,"sybiha, army, african",2025-11-07,"Over 1,400 Africans from 36 nations fighting for Russia in war on Ukraine – FM Sybiha","According to available information, at least 1,436 citizens from 36 African countries are currently fighting in the ranks of the Russian army, Ukrainian Foreign Minister Andriy Sybiha has said, calling on African governments to publicly warn their citizens against joining the Russian occupation army.",1,-10.0,Interfax-Ukraine,en,AFRICANS,RUSSIA,"['Use conventional military force, not specified below']",
https://en.interfax.com.ua/news/general/1118786.html,2025-11-07,Kenyan president thanks Ukraine for aiding release of Kenyans duped into fighting for Russia,SEC,,KEN,RUS,KE,,,"conversation, zelenskyy, ruto",2025-11-07,Kenyan president thanks Ukraine for aiding release of Kenyans duped into fighting for Russia,"Kenyan President William Ruto has commented on his conversation with Ukrainian President Volodymyr Zelenskyy, thanking him for his assistance in the release of Kenyan citizens illegally recruited by Russia.",1,7.0,Interfax-Ukraine,en,KENYAN,RUSSIA,"['Return, release, not specified below']",
https://cyprus-mail.com/2025/11/06/south-africa-to-probe-recruitment-of-citizens-as-mercenaries-in-russia-ukraine-conflict,2025-11-06,South Africa to probe recruitment of citizens as mercenaries in Russia-Ukraine conflict |  Cyprus Mail,SEC,,AFR | RUS,RUS | AFR,SF,,,,2025-11-06,South Africa to probe recruitment of citizens as mercenaries in Russia-Ukraine conflict |  Cyprus Mail,"South Africa&#039;s government said on Thursday it will investigate how 17 of its citizens joined mercenary forces in the Russia-Ukraine conflict after the men sent distress calls for help to return home. The men were lured into fighting under the pretext of lucrative employment contracts, a statement issued by South&hellip;",5,-1.72,,en,AFRICA | RUSSIA,RUSSIA | AFRICA,"['Make pessimistic comment', 'Decline comment', 'Reject, not specified below']",
https://www.dw.com/en/ukraine-russia-says-advances-made-in-key-city-of-pokrovsk/live-74638773,2025-11-06,Ukraine: Russia says advances made in key city of Pokrovsk – DW – 11/06/2025,SEC,,RUS | UKR,UKR | RUS,SF,,,,2025-11-06,Ukraine: Russia says advances made in key city of Pokrovsk – DW – 11/06/2025,"Russia says it has nearly surrounded the frontline city and is close to capturing it, after over a year of fighting. Meanwhile, South Africa is probing how 17 of its citizens were lured to fight in the war. DW has more.",3,-6.333333333,dw.com,en,RUSSIAN | UKRAINE,UKRAINE | KHARKIV | RUSSIAN,"['Use conventional military force, not specified below', 'Consult, not specified below']",
https://www.themoscowtimes.com/2025/11/06/with-russian-houses-moscow-expands-soft-power-push-into-africa-a91052,2025-11-06,"With 'Russian Houses,' Moscow Expands Soft Power Push Into Africa - The Moscow Times",INFO,,AFR | RUS,RUS | USA,SF | UV,,,"Africa,Diplomacy,Rossotrudnichestvo",2025-11-06,"With 'Russian Houses,' Moscow Expands Soft Power Push Into Africa - The Moscow Times","The curtains were drawn, the chairs were set and a projector was lowered.",3,0.1333333333,The Moscow Times,en,AFRICA | RUSSIAN,RUSSIA | WASHINGTON,"['Make statement, not specified below', 'Make optimistic comment']",Brawley Benson
https://www.the-star.co.ke/news/2025-11-06-zelensky-urges-tougher-sanctions-after-russian-strikes-injure-8,2025-11-06,Zelensky urges tougher sanctions after fresh Russian strikes injure 8 in Dnipro,DIP,,RUS | UKR,UKR | RUS,KE,,,"Zelensky,Ukraine war,Dnipro drone strikes,Russia sanctions,Kenya Ukraine relations,William Ruto,Russian invasion,Ukrainian children,G7 sanctions,Africa diplomacy",2025-11-06,Zelensky urges tougher sanctions after fresh Russian strikes injure 8 in Dnipro,"Zelensky asked the US, Europe and G7 to tighten sanctions on Russia’s energy trade and finances",3,-1.0,The Star,en,RUSSIAN | UKRAINE,UKRAINE | RUSSIAN,"['Consult, not specified below', 'Arrest, detain, or charge with legal action']",
https://www.cnbcafrica.com/2025/south-africa-to-investigate-how-17-citizens-were-lured-into-fighting-in-ukraine,2025-11-06,South Africa to probe recruitment of citizens as mercenaries in Russia-Ukraine conflict - CNBC Africa,SEC,,AFR,RUS,SF,,,,2025-11-06,South Africa to probe recruitment of citizens as mercenaries in Russia-Ukraine conflict - CNBC Africa,"JOHANNESBURG, Nov 6 (Reuters) – South Africa’s government said on Thursday it will investigate how 17 of its citizens joined mercenary forces in the Russia-Ukraine conflict after the men sent distress calls for help to return home. The men were lured into fighting under the pretext of lucrative employment contracts, a statement issued by South Africa’s presidency […]",2,-0.4,,en,AFRICA,RUSSIA,['Make pessimistic comment'],
https://www.politico.eu/article/south-africa-russia-vladimir-putin-probes-17-mercenaries-suspected-fighting/,2025-11-06,"17 mercenaries are accused of fighting for Russia. Now, South Africa wants them home. – POLITICO",SEC,,AFR | BRA,RUS,SF,,,"Africa,Military,Russia,South Africa,Ukraine,War in Ukraine",2025-11-06,"17 mercenaries are accused of fighting for Russia. Now, South Africa wants them home. – POLITICO",President Cyril Ramaphosa’s government launches bid to repatriate men who Ukraine suspects of joining Moscow’s invasion.,2,3.5,POLITICO,en-GB,AFRICA | BRAZIL,RUSSIA,"['Engage in diplomatic cooperation, not specified below']",
https://charter97.org/en/news/2025/11/6/662036/,2025-11-06,Il-76 With Russian Crew Shot Down In Sudan: What Mission The Plane Was Carrying Out - Belarusian News - Charter'97,SEC,,SDN,RUS,SU,,,,2025-11-06,Il-76 With Russian Crew Shot Down In Sudan: What Mission The Plane Was Carrying Out - Belarusian News - Charter'97,New details of the incident have emerged.,2,-10.0,,en,SUDAN,RUSSIAN,"['Use conventional military force, not specified below']",
https://chimpreports.com/habib-kagimu-ukraine-fighting-russia-extremely-stupid/,2025-11-06,Habib Kagimu: Ukraine Fighting Russia ‘Extremely Stupid’ | ChimpReports,DIP,,UKR,RUS,UG,,,,2025-11-06,Habib Kagimu: Ukraine Fighting Russia ‘Extremely Stupid’ | ChimpReports,"Habib Kagimu, Malaysia’s Honorary Consul in Uganda, has criticized Ukraine’s ongoing war with Russia as “extremely stupid,” saying the conflict was unwinnable and risked dragging the world closer to catastrophe. Kagimu said he told Ukraine’s ambassador to Uganda, Andrii Pravednyk, that Kyiv should reconsider its strategy in a war that has stretched for more than …",1,0.0,ChimpReports,en-US,UKRAINE,RUSSIA,['Consider policy option'],Stuart Ampaire
https://www.the-star.co.ke/news/africa/2025-11-06-ramaphosa-south-africans-trapped-after-joining-russia-ukraine-war,2025-11-06,"South Africans trapped in Donbas after joining Russia-Ukraine war, Ramaphosa says",DIP,,RUS,,SF,,,"Ukraine,russia,ramaphosa,leaders,reports,star news,the star newspaper,star news Kenya,the star",2025-11-06,"South Africans trapped in Donbas after joining Russia-Ukraine war, Ramaphosa says","South African government is working through ""diplomatic channels"" to secure their return",1,-2.0,The Star,en,RUSSIA,,"['Investigate, not specified below']",
https://www.dw.com/en/south-africa-probes-how-17-of-its-citizens-were-lured-to-fight-as-mercenaries-in-ukraine/live-74638773,2025-11-06,Ukraine: Russia says advances made in key city of Pokrovsk – DW – 11/06/2025,SEC,,RUS,AFR,SF,,,,2025-11-06,Ukraine: Russia says advances made in key city of Pokrovsk – DW – 11/06/2025,"Russia says it has nearly surrounded the frontline city and is close to capturing it, after over a year of fighting. Meanwhile, South Africa is probing how 17 of its citizens were lured to fight in the war. DW has more.",1,-10.0,dw.com,en,RUSSIA,AFRICA,"['Use conventional military force, not specified below']",
"https://www.africaintelligence.com/eastern-africa-and-the-horn/2025/11/06/port-sudan-seeks-russian-combat-aircraft-to-lead-strikes-against-rsf,110555668-art",2025-11-06,Sudan  • Port Sudan seeks Russian combat aircraft to lead strikes against RSF,SEC,,SDN,RUS,SU,,,,2025-11-06,Sudan  • Port Sudan seeks Russian combat aircraft to lead strikes against RSF,"A few weeks before the military defeat in El Fasher, the SAF high command had launched consultations to acquire Sukhoi fighter jets. Since the fall of the Darfurian city, the objective has been to",1,-10.0,Africa Intelligence,en,SUDAN,RUSSIAN,['Employ aerial weapons'],
https://tass.com/economy/2040011,2025-11-06,UralChem shipped humanitarian batch of fertilizers to Bangladesh -  Business & Economy - TASS,ECON,,RUS,,MI,,,,2025-11-06,UralChem shipped humanitarian batch of fertilizers to Bangladesh -  Business & Economy - TASS,"The delivery of fertilizers earlier stored in Latvia was implemented with assistance of the UN World Food Programme, which chartered a vessel to carry the cargo",1,0.0,TASS,,RUSSIAN,PRODUCER,"['Make statement, not specified below']",
https://www.africa-newsroom.com/press/the-economic-community-of-west-african-states-ecowas-commission-president-receives-delegation-from-task-force-on-ecowas-trade-liberalization-scheme-and-russian-ambassador-accredited-to-nigeria-and-ecowas,2025-11-05,APO Group - Africa Newsroom  / Press release | The Economic Community of West African States (ECOWAS) Commission President receives delegation from Task Force on ECOWAS Trade Liberalization Scheme and Russian ambassador accredited to Nigeria and ECOWAS,DIP,,NGA | RUS,RUS | NGA,NI,,,The ECOWAS Trade Liberalization Scheme (ETLS) is a major economic achievement in the construction of the Common Market and regional integration in West Africa,2025-11-05,APO Group - Africa Newsroom  / Press release | The Economic Community of West African States (ECOWAS) Commission President receives delegation from Task Force on ECOWAS Trade Liberalization Scheme and Russian ambassador accredited to Nigeria and ECOWAS,The Economic Community of West African States (ECOWAS) Commission President receives delegation from Task Force on ECOWAS Trade Liberalization Scheme and Russian ambassador accredited to Nigeria and ECOWAS,4,2.35,,en,PRESIDENT | NIGERIA | RUSSIA,RUSSIA | PRESIDENT | NIGERIA,"['Host a visit', 'Make a visit']",Economic Community of West African States (ECOWAS)
https://tass.com/economy/2039775,2025-11-05,"Russia to expand cooperation with Ethiopia in industry, energy, agriculture -  Business & Economy - TASS",ECON,,RUS,ETH,ET,,,,2025-11-05,"Russia to expand cooperation with Ethiopia in industry, energy, agriculture -  Business & Economy - TASS","The supply of Ethiopian coffee to the Russian market continues to increase, Russian Economic Development Minister Maxim Reshetnikov noted",3,3.5,TASS,,RUSSIA,ETHIOPIA,"['Engage in diplomatic cooperation, not specified below']",
https://www.aps.dz:443/en/algeria/national-news/mhm7pqd1-successive-generations-will-remember-soviet-demining-experts-support-to-algeria-says-sayoud,2025-11-05,"Successive generations will remember Soviet demining experts' support to Algeria, says Sayoud | Algérie Presse Service",SEC,,DZA,RUS,AG,,,,2025-11-05,"Successive generations will remember Soviet demining experts' support to Algeria, says Sayoud | Algérie Presse Service","<p>ALGIERS - Minister of Interior, Local Authorities and Transport, Said Sayoud, affirmed on Wednesday in the municipality of al Ayoun, in El-Tarf province, that successive generations will continue to preserve in the collective memory the support provided by the Soviet demining experts to Algeria following its independence.</p>",2,3.4,,en,ALGERIA,RUSSIA,['Praise or endorse'],
http://www.sierraleonetimes.com/news/278675884/russia-urging-icc-to-drop-sudan-case,2025-11-05,Russia urging ICC to drop Sudan case,DIP,,RUS,SDN,SU,,,The Russian Embassy in Egypt has called for the withdrawal of the Darfur war crimes case from the ICC Read Full Article at RT.com,2025-11-05,Russia urging ICC to drop Sudan case,The Russian Embassy in Egypt has called for the withdrawal of the Darfur war crimes case from the ICC Read Full Article at RT.com,1,3.0,Sierra Leone Times,en,RUSSIA,SUDAN,"['Appeal, not specified below']",
http://www.zimbabwestar.com/news/278676114/russia-urges-icc-to-drop-sudan-case,2025-11-05,Russia urges ICC to drop Sudan case,DIP,,RUS,SDN,SU,,,"atrocities, jurisdiction, the sudanese, conflict, sudan, russian, sudanese, crimes, accused",2025-11-05,Russia urges ICC to drop Sudan case,The Russian Embassy in Egypt has called for the withdrawal of the Darfur war crimes case from the ICC Read Full Article at RT.com,1,-5.0,Zimbabwe Star,en,MOSCOW,SUDAN,"['Demand, not specified below']",
http://www.kenyastar.com/news/278674845/russia-g20-summit-delegation-revealed,2025-11-05,Russia's G20 summit delegation revealed,DIP,,RUS,,SF,,,Russian President Vladimir Putin has approved the officials to represent Moscow at the upcoming G20 summit in South Africa Read Full Article at RT.com,2025-11-05,Russia's G20 summit delegation revealed,Russian President Vladimir Putin has approved the officials to represent Moscow at the upcoming G20 summit in South Africa Read Full Article at RT.com,1,4.0,Kenya Star,en,SERGEY LAVROV,,['Express intent to meet or negotiate'],
https://united24media.com/anti-fake/20-years-of-rt-how-russias-propaganda-hydra-survived-the-ban-13121,2025-11-05,20 Years of RT: How Russia’s Propaganda Hydra Survived the Ban — UNITED24 Media,INFO,,RUS,PSE,RW,,,,2025-11-05,20 Years of RT: How Russia’s Propaganda Hydra Survived the Ban — UNITED24 Media,"RT marks two decades as a state propaganda entity, using AI-driven content and disinformation tactics to influence perceptions and advance Russia's agenda abroad.",1,-2.0,UNITED24 Media,en,RUSSIA,HAMAS,['Criticize or denounce'],
https://www.defensenews.com/global/the-americas/2025/11/04/after-caracas-stop-mysterious-russian-plane-flew-to-cuba-nicaragua/,2025-11-04,"After Caracas stop, mysterious Russian plane flew to Cuba, Nicaragua",SEC,,DZA | MRT | RUS | VEN,RUS | DZA | MRT | VEN,AG,,,"dn-dnr, venezuela, russia, cuba, ukraine, circulated-defense-news, defense-news",2025-11-04,"After Caracas stop, mysterious Russian plane flew to Cuba, Nicaragua","The recent trip to Latin America comes amid high tensions between Washington and Caracas, as the Pentagon positions military assets near Venezuela.",6,2.35,Defense News,en,ALGERIA | MAURITANIA | RUSSIA | VENEZUELA,RUSSIA | ALGERIA | MAURITANIA | VENEZUELA,"['Make a visit', 'Host a visit']",Linus Höller
https://www.ecowas.int/ecowas-commission-president-receives-delegation-from-task-force-on-ecowas-trade-liberalization-scheme-and-russian-ambassador-accredited-to-nigeria-and-ecowas/,2025-11-04,ECOWAS Commission President receives delegation from Task Force on ECOWAS Trade Liberalization Scheme and Russian ambassador accredited to Nigeria and ECOWAS |  Economic Community of West African States (ECOWAS),DIP,,RUS,RUS,NI,,,,2025-11-04,ECOWAS Commission President receives delegation from Task Force on ECOWAS Trade Liberalization Scheme and Russian ambassador accredited to Nigeria and ECOWAS |  Economic Community of West African States (ECOWAS),—D'une CEDEAO des Etats à une CEDEAO des peuples,2,2.35,,en,PRESIDENT | RUSSIAN,RUSSIAN | PRESIDENT,"['Host a visit', 'Make a visit']",Daniel Inaju - Challydoff Limited
http://www.sierraleonetimes.com/news/278674848/russias-g20-summit-delegation-revealed,2025-11-04,Russias G20 summit delegation revealed,DIP,,RUS,,SF,,,"trump, kremlin, g20 summit, group, development, president, russian, oreshkin, presidential",2025-11-04,Russias G20 summit delegation revealed,Russian President Vladimir Putin has approved the officials to represent Moscow at the upcoming G20 summit in South Africa Read Full Article,2,3.5,Sierra Leone Times,en,MOSCOW | RUSSIA,,"['Engage in diplomatic cooperation, not specified below']",
https://charter97.org/en/news/2025/11/5/661907/,2025-11-04,Sudanese Rebels Shoot Down Russian Il-76 Aircraft - Belarusian News - Charter'97,SEC,,SDN,RUS,SU,,,,2025-11-04,Sudanese Rebels Shoot Down Russian Il-76 Aircraft - Belarusian News - Charter'97,Video Fact.,1,-10.0,,en,SUDANESE,RUSSIAN,['Fight with small arms and light weapons'],
https://www.express.co.uk/news/world/2130147/vladimir-putin-sudan-il-76-plane-rsf-rebels,2025-11-04,Putin humiliated as $100m plane shot down by African rebels | World | News | Express.co.uk,SEC,,SDN,RUS,SU,,,,2025-11-04,Putin humiliated as $100m plane shot down by African rebels | World | News | Express.co.uk,The rebels are said to have used a a Chinese-made FK-2000 air defence system to shoot down the plane.,1,-10.0,Express.co.uk,en,SUDAN,RUSSIAN,"['Use conventional military force, not specified below']",John Varga
https://www.moroccoworldnews.com/2025/11/266374/resolution-2797-russia-seeks-to-appear-consistent-on-western-sahara-amid-algeria-polisario-frustration/,2025-11-03,"Resolution 2797: Russia Seeks to Appear Consistent on Western Sahara Amid Algeria, Polisario Frustration",DIP,,MAR | RUS,RUS | MAR,AG,,,,2025-11-03,"Resolution 2797: Russia Seeks to Appear Consistent on Western Sahara Amid Algeria, Polisario Frustration","Russia is reiterating its position to appear consistent in the Western Sahara dispute.This comes amid frustration from Algeria, Polisario",6,5.333333333,Morocco World News,en-US,RABAT | MOROCCO | RUSSIA,RUSSIA | MOROCCO,"['Make statement, not specified below', 'Sign formal agreement']",Safaa Kasraoui
https://english.pravda.ru/news/world/164715-trump-nigeria/,2025-11-03,Russia Explains Trump’s Threat to Invade Nigeria: It’s All About Oil,DIP,,RUS,RUS | NGA,NI,,,"Donald Trump, Nigeria, Pentagon, invasion, Christians, Boko Haram, Islamic terrorists, oil reserves, U.S. foreign policy, Russia analysis",2025-11-03,Russia Explains Trump’s Threat to Invade Nigeria: It’s All About Oil,"President Donald Trump orders the Pentagon to prepare for a possible invasion of Nigeria, citing Christian persecution, while Russian experts claim U.S. interest",4,-6.0,PravdaReport,en,AL QAEDA | RUSSIAN | TERRORIST ORGANIZATION,RUSSIA | NIGERIA,"['Impose administrative sanctions, not specified below', 'Threaten conventional attack']",Pavel Morozov
https://en.apa.az/africa/south-africa-not-yet-confirmed-meeting-between-russian-and-us-leaders-at-g20-summit-482623,2025-11-03,South Africa not yet confirmed meeting between Russian and US leaders at G20 summit,DIP,,AFR | RUS,RUS | AFR,SF,,,"Apa az, apa.az, apa news, apa.az news, xeber az, all news, news Baku, latest news, apaaz news, lent az news, most read news, vesti.az news, today`s news, news today, African countries news, news from African countries, latest news from African countries, starvation news in African countries, Egypt news, Libya news, Algerian news, Moroccan news, Madagascar island, South Africa News, RSA news, Nelson Mandella, Central African Republic news, CAR news, Cairo News, Casablanca news, Nile river, Sahara, Sahara desert, Victoria falls, jungle, tribe news",2025-11-03,South Africa not yet confirmed meeting between Russian and US leaders at G20 summit,"South Africa, as the current chair of the Group of Twenty (G20), cannot officially confirm a meeting between Russian and US leaders at the G20 summit in Johannesburg later in November, said South African presidential spokesman Vincent Magwenya, responding to a question about a corresponding proposal from Finnish President Alexander, APA reports",2,4.0,Apa.az,en,AFRICA | RUSSIA,RUSSIA | AFRICA,['Express intent to meet or negotiate'],
https://timesofindia.indiatimes.com/world/rest-of-world/the-week-that-was-trump-xis-first-meet-in-6-years-russias-burevestnik-missile-and-more/articleshow/125052473.cms,2025-11-03,"The week that was: Trump-Xi's first meet in 6 years, Russia’s Burevestnik missile, and more - The Times of India",SEC,,,RUS,MO,,,"trump,sahara,russia,zelenskyy,trumps,russias burevestnik,putin,polisario front,polisario",2025-11-03,"The week that was: Trump-Xi's first meet in 6 years, Russia’s Burevestnik missile, and more - The Times of India","Rest of World News: Global leaders convened as Trump and Xi met to ease US-China trade tensions, while Russia claimed a nuclear missile test. India and the US solidified",1,1.0,The Times of India,en,,RUSSIA,"['Consult, not specified below']",
https://portnet.gr/crew-onboard-detained-tanker-in-suez-remains-unpaid-for-months/,2025-11-03,Crew onboard detained tanker in Suez remains unpaid for months - Portnet - Ειδήσεις Πειραιά,SEC,,EGY,RUS,EG,,,,2025-11-03,Crew onboard detained tanker in Suez remains unpaid for months - Portnet - Ειδήσεις Πειραιά,"Egyptian authorities have seized the Russian crude oil tanker Dignity for failing to pay the required Suez Canal transit fee, according to a crew member’s appeal to the Seafarers’ Union of Russia (SUR). The vessel is currently anchored at the Port of Suez. Crew members have reported critical shortages of fuel and lubricants, raising concerns",1,3.0,Portnet - Ειδήσεις Πειραιά -,el,EGYPTIAN,RUSSIA,"['Appeal, not specified below']",Portnet
